time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-23 9:46:36:894	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.79	-40.76	-179.14	-2.917	-47.225	202.492	-0.22202	0.23050	0.64487	0.69400	26.4	10080.1.13	60
2024-12-23 9:46:37:2	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.01	-37.68	-179.53	-2.917	-47.225	202.492	-0.22202	0.23050	0.64487	0.69400	26.4	10080.1.13	60
2024-12-23 9:46:37:93	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.87	-36.05	-179.70	-2.917	-47.225	202.492	-0.20862	0.22162	0.64877	0.69739	26.4	10080.1.13	60
2024-12-23 9:46:37:207	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.83	-33.95	-179.94	-2.917	-47.225	202.492	-0.20862	0.22162	0.64877	0.69739	26.4	10080.1.13	60
2024-12-23 9:46:37:308	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.08	-32.35	179.67	-2.775	-48.200	219.050	-0.20862	0.22162	0.64877	0.69739	26.4	10080.1.13	60
2024-12-23 9:46:37:413	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.12	-31.20	179.56	-2.775	-48.200	219.050	-0.20862	0.22162	0.64877	0.69739	26.4	10080.1.13	60
2024-12-23 9:46:37:524	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.07	-32.02	179.60	-2.775	-48.200	219.050	-0.19067	0.20856	0.65356	0.70206	26.4	10080.1.13	60
2024-12-23 9:46:37:633	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.83	-34.57	179.81	-2.775	-48.200	219.050	-0.19067	0.20856	0.65356	0.70206	26.4	10080.1.13	60
2024-12-23 9:46:37:678	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.56	-39.68	-179.90	-2.575	-47.167	203.575	-0.19067	0.20856	0.65356	0.70206	26.4	10080.1.13	60
2024-12-23 9:46:37:814	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.52	-43.11	-179.77	-2.575	-47.167	203.575	-0.19067	0.20856	0.65356	0.70206	26.4	10080.1.13	60
2024-12-23 9:46:37:884	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.68	-43.13	-179.93	-2.575	-47.167	203.575	-0.25406	0.27347	0.63104	0.67996	26.4	10080.1.13	60
2024-12-23 9:46:38:16	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.90	-42.36	179.81	-2.575	-47.167	203.575	-0.25406	0.27347	0.63104	0.67996	26.4	10080.1.13	60
2024-12-23 9:46:38:84	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.19	-40.24	179.50	-3.925	-46.475	217.733	-0.25406	0.27347	0.63104	0.67996	26.4	10080.1.13	60
2024-12-23 9:46:38:217	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.69	-37.69	179.09	-3.925	-46.475	217.733	-0.25406	0.27347	0.63104	0.67996	26.4	10080.1.13	60
2024-12-23 9:46:38:312	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.64	-34.74	179.26	-3.925	-46.475	217.733	-0.19843	0.21832	0.65399	0.69653	26.4	10080.1.13	60
2024-12-23 9:46:38:420	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.47	-34.91	179.56	-3.925	-46.475	217.733	-0.19843	0.21832	0.65399	0.69653	26.4	10080.1.13	60
2024-12-23 9:46:38:489	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.02	-37.45	-179.91	-2.492	-47.125	202.650	-0.19843	0.21832	0.65399	0.69653	26.4	10080.1.13	60
2024-12-23 9:46:38:645	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.33	-44.45	-179.12	-2.492	-47.125	202.650	-0.19843	0.21832	0.65399	0.69653	26.4	10080.1.13	60
2024-12-23 9:46:38:710	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.02	-47.33	-178.76	-2.492	-47.125	202.650	-0.28699	0.29742	0.61792	0.66876	26.4	10080.1.13	60
2024-12-23 9:46:38:828	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.91	-48.06	-178.75	-2.492	-47.125	202.650	-0.28699	0.29742	0.61792	0.66876	26.4	10080.1.13	60
